shop_number,cash_number,doc_id,item,category,amount,price,discount
11,2,ww4uuOK7pf,тарелка,посуда,9,2569.2,5
11,2,jkGOY2CRyY,чайник,посуда,29,2045.7,5
11,2,SMTtTklxOO,кастрюля,посуда,10,1902.5,3
11,2,XeDHZkcgrB,чашка,посуда,19,2110.4,3
11,2,mBeVsoGSDJ,стиральный порошок,бытовая химия,28,1678.0,5
11,2,XoXALW7N3C,зубная паста,бытовая химия,15,2864.9,5
11,2,okGkCz7lqH,гель для душа,бытовая химия,23,2017.8,3
11,2,AqlEsDySyN,шампунь,бытовая химия,3,454.2,0
11,2,9ARYZ5NuDs,штора,текстиль,40,407.6,3
11,2,UtmNyIZmow,подушка,текстиль,22,1557.4,5
11,2,wB7hxUAPak,одеяло,текстиль,47,1997.5,3
11,2,KAaYZsw1dM,светильник,освещение,25,1459.8,0
11,2,aRutL9OBB6,лампочка,освещение,45,1951.0,0
