shop_number,cash_number,doc_id,item,category,amount,price,discount
10,2,PSJCFr8jTV,тарелка,посуда,27,2173.1,5
10,2,SHk0EAB9Hx,чайник,посуда,26,1872.4,0
10,2,GoibU7QQtP,кастрюля,посуда,34,864.3,0
10,2,RwBShbGigI,чашка,посуда,37,505.4,5
10,2,THKfZ09PsW,стиральный порошок,бытовая химия,12,289.7,3
10,2,2oeyj3pBoi,зубная паста,бытовая химия,26,1551.1,0
10,2,ZxaXm6FOEe,гель для душа,бытовая химия,28,289.2,5
10,2,eQfPItbvla,шампунь,бытовая химия,9,1999.1,5
10,2,UD3ohPGT35,штора,текстиль,1,2014.3,3
10,2,vqToAhYiYC,подушка,текстиль,12,1959.3,0
10,2,jtI4rd6HYh,одеяло,текстиль,1,2881.6,5
10,2,wPLGyCSHJG,светильник,освещение,3,2731.9,3
10,2,cb3N7rESCC,лампочка,освещение,34,2990.2,5
